    "NewGame"    新游戏
    "FeedbackNewReply"    你收到了新的开发者回复，按来阅读。
    "SurvivorPDA"    遗弃的
    "Tooltip_SurvivorPDA"    下载数据
    "StarshipCargoCrate"    货物箱
    "StarshipCircuitBox"    电路盒
    "StarshipDesk"    办公桌
    "StarshipChair"    旋转椅
    "StarshipMonitor"    监控
    "Tooltip_StarshipCargoCrate"    从极光号抢救下来的物资。
    "Tooltip_StarshipCircuitBox"    复杂的接线盒。
    "Tooltip_StarshipDesk"    普通的舰载办公桌。
    "Tooltip_StarshipChair"    可以度旋转。
    "Tooltip_StarshipMonitor"    错误
    "Techlight"    工业照明灯
    "Seaglide"    水下推进器
    "BaseBulkheadFragment"    隔离舱门碎片
    "BaseFiltrationMachineFragment"    海水过滤机碎片
    "BaseObservatoryFragment"    观景台碎片
    "BaseUpgradeConsoleFragment"    升级模块碎片
    "ConstructorFragment"    载具舱碎片
    "PowerTransmitterFragment"    能源延伸器碎片
    "RadioFragment"    无线电碎片
    "SeaglideFragment"    水下推进器碎片
    "SolarPanelFragment"    太阳能电池板碎片
    "SpecimenAnalyzerFragment"    标本分析仪碎片
    "TechlightBlueprint"    工业照明灯蓝图
    "Tooltip_Seaglide"    通过螺旋桨转动来产生水下推动力。
    "Tooltip_TechlightBlueprint"    用于建造工业照明灯。
    "Tooltip_Techlight"    可电池供电的工业照明灯，适用于一切环境。
    "Ency_Techlight"    工业照明灯
    "EncyDesc_Techlight"    由电池供电的标准照明灯，向单一方向投射强光，在各类工业勘探和紧急情况下很有用，可以应用在所有已知的环境中，电池可以升级。
    "Ency_Spotlight"    探照灯
    "EncyDesc_Spotlight"    开发以用于安装在现有栖息地和设施上的永久照明解决方案。在度拱门自动旋转。运动检测：将跟踪附近的移动物体。由主电源供电。
    "OxygenWarning10"    警告：氧气含量不足。
    "OxygenWarning30"    警告：氧气含量不足。
    "GrowingProgress"    生长率
    "GrowingPlant"    正在生长
    "MelonSeed"    甜瓜种子
    "Tooltip_SmallKoosh"    外星植物样本。
    "Tooltip_MediumKoosh"    外星植物样本。
    "Tooltip_LargeKoosh"    外星植物样本。
    "Tooltip_HugeKoosh"    外星植物样本。
    "Tooltip_BulboTree"    外星植物样本，可食用。
    "Tooltip_OrangeMushroom"    外星植物样本。
    "Tooltip_PurpleVasePlant"    外星植物样本。
    "Tooltip_MelonPlant"    外星植物样本。
    "Tooltip_PurpleBrainCoral"    外星植物样本。
    "Tooltip_SpikePlant"    外星植物样本。
    "Tooltip_BluePalm"    外星植物样本。
    "Tooltip_PurpleFan"    外星植物样本。
    "Tooltip_SmallFanCluster"    外星植物样本。
    "Tooltip_PurpleTentacle"    外星植物样本。
    "Tooltip_GabeSFeather"    外星植物样本。
    "Tooltip_SeaCrown"    外星植物样本。
    "Tooltip_MembrainTree"    外星植物样本。
    "Tooltip_PinkFlower"    外星植物样本。
    "Tooltip_FernPalm"    外星植物样本。
    "Tooltip_OrangePetalsPlant"    外星植物样本。
    "Tooltip_EyesPlant"    外星植物样本。
    "Tooltip_RedGreenTentacle"    外星植物样本。
    "Tooltip_PurpleStalk"    外星植物样本。
    "Tooltip_RedBasketPlant"    外星植物样本。
    "Tooltip_RedBush"    外星植物样本。
    "Tooltip_RedConePlant"    外星植物样本。
    "Tooltip_ShellGrass"    外星植物样本。
    "Tooltip_SpottedLeavesPlant"    外星植物样本。
    "Tooltip_RedRollPlant"    外星植物样本。
    "Tooltip_PurpleBranches"    外星植物样本。
    "Tooltip_SnakeMushroom"    外星植物样本。
    "Tooltip_MelonSeed"    外星植物样本。
    "Tooltip_BlueJeweledDisk"    外星植物样本。
    "Tooltip_GreenJeweledDisk"    外星植物样本。
    "Tooltip_PurpleJeweledDisk"    外星植物样本。
    "Tooltip_RedJeweledDisk"    外星植物样本。
    "Tooltip_TreeMushroom"    外星植物样本。
    "Tooltip_BigCoralTubes"    外星植物样本。
    "Tooltip_CoralShellPlate"    外星植物样本。
    "RadioBounceBack"    无线电：这里是极光号。收到求救信号。救援将在…………………………小时后到达您的位置。请继续监测其他逃生舱状况。
    "RadioSecondOfficer"    无线电：拨放预录求救讯息……极光号第二副长官金：这里是求生舱号的二副基恩！舰长已经不在了。我收到了他最后的命令。舰长临死前给了我检测到的陆地坐标，并命令所有幸存者在坠毁地点西南方一公里处集合，我们必须齐心协力了，请务必来到汇合点。现在重复这条讯息。主控制台：集合点坐标数据已损坏。正在下载原始数据。
    "RadioWarper1"    乱码发现名新型生物。模式：狩猎分析。乱码请与其他裂空者共享位置。
    "RadioWarper2"    乱码号客体已被摧毁乱码出现新的未知目标。
    "RadioPrecursor1"    无线电：乱码
    "RadioPassingShip"    无信号
    "HintSuccess"    厉害了！
    "PDABootingEmergency"    启动应急模式
    "EscapePodStorageOpen"    打开逃生舱存储柜
    "EscapePodMedKitOpen"    打开医用柜
    "EscapePodMedKitClose"    关闭医用柜
    "FuelPercent"    燃料
    "Weld"    修理
    "Tooltip_MedicalCabinet"    每分钟生成一个急救包。
    "Tooltip_FireExtinguisher"    可以扑灭火焰。
    "Damaged"    受损
    "Pickup_FireExtinguisher"    拾起灭火器
    "FireExtinguisher_Douse"    扑灭火焰
    "MedicalCabinet"    医用柜
    "MedicalCabinet_DoorClose"    关闭
    "MedicalCabinet_DoorOpen"    打开
    "MedicalCabinet_PickupMedKit"    拿取急救包
    "DamagedWires"    备用系统损坏
    "WeldToFix"    使用焊接器
    "IntroEscapePod1Header"    启动发射程序
    "IntroEscapePod1Content"    进入行星大气层！所有系统：上线。船员安全束缚：安全。力逼近危险等级冲击缓冲。
    "IntroEscapePod1Power"    能源电池号恢复
    "IntroEscapePod2Header"    紧急情况！
    "IntroEscapePod2Content"    碰撞检测。部署飘浮设备。发现逃生舱内部有大火。二氧化碳含量接近危险等级。辅助系统：脱机。舱口：故障。
    "IntroEscapePod2Power"    主电源脱机
    "IntroEscapePod3Header"    警告
    "IntroEscapePod3Content"    电路测试：失败第二系统：离线无线电：离线紧急信号广播：失败漂浮设备：展开船体完整性：良好。
    "IntroEscapePod3Power"    太阳能电池工作中
    "IntroEscapePod4Header"    状态：确定
    "IntroEscapePod4Content"    备用系统：重新上线无线电通信：失败接收无线电信号：成功漂浮装置：已部署船体完整性：良好环境：未知行星的海洋大气层成分：氧气氮气水中细菌等级：高
    "IntroEscapePod4Power"    主电源恢复
    "EncyPath_DownloadedData\/Degasi"    德加斯号船员资料下载
    "Ency_IslandsPDABase1Interior"    保罗托加尔的一号日志放逐
    "EncyDesc_IslandsPDABase1Interior"    长官日志：从我们的飞船在空中遇难至今已经差不多周了。在这场事故中，命运让我和我的儿子巴特幸免于难，但与此同时也给了我们一名同行的累赘，梅达。她是一名武装德加斯号的廉价雇佣兵，我很不情愿地同意她和我们同行。我们三人在逃生舱里度过了噩梦般的几天，每天看到的除了大海就是暴雨。天气终于放晴后，我们惊喜地发现了这个漂浮着的海上绿洲。我们利用德加斯号遗骸残存的物资建立了这个避难所。此后，我让巴特研究和培育本地的植物，很快，他的研究让我们得到了稳定的食物来源。他之前高昂的生物学院学费也算没有白交。唯一令人心烦的是那个雇佣兵梅达。她一直嚷嚷着这个岛太小，我们迟早会耗尽岛上的资源，而且还说一旦天气再度变差，我们的生存环境会变得十分恶劣。在我看来，这只是她作为一个雇佣兵周期性地躁动，一个多星期没打斗让她皮痒罢了。她的各种想法都是极度悲观，并且觉得我们如果延续这样的状态迟早会完蛋。但是如果他有像我一样的见识，就会知道人类天生就是可以掌控自然的，一切都会向好的方面发展。我们现在唯一要做的就是维持现状，尽量活下去，撑到保险公司派遣救援队来救我们。可能需要几个月，也可能是几年。
    "Ency_IslandsPDABase1a"    巴特托加尔的号日志深海归来
    "EncyDesc_IslandsPDABase1a"    这是我几个月的海底生活以来，第一次见到阳光。但是来到地表，我却很难独自享受这突如其来的自由。父亲说的对，我们从来就不该离开岸上去到海底的，这个星球和它海里的生物并不欢迎我们。父亲和梅达此时已经成为这个星球的一部分了。我的健康状况也在持续恶化，想到很快就能见到他们，也就没什么不舍了。在此之前，我至少还可以享受这美丽水世界的宁静和美景吧。
    "Ency_IslandsPDABase1bDesk"    德加斯的号声音日志基地位置
    "EncyDesc_IslandsPDABase1bDesk"    保罗：这个岛屿已经是我们最好的避难所了，没有掠食者，还有新鲜的食物供给。玛格丽特：但是这里没有建筑材料，飞船遗留下的材料已经用完了。培养皿用完后，我们也无法培育植物了，这样我们都会饿死。孩子，这是你说的吧。巴特：是的爸爸，植物种在这里的土壤自然生长太慢了，这样下去我们的收获赶不上消耗的速度。玛格丽特：我的意思很简单，在这样四面环海的小岛上躲藏着，我们只是在自欺欺人，坐以待毙罢了。保罗：梅达，如果你想去，你就去吧，如果不是这次事故，你的余生本来也应该在战斗中度过，但是请别拉上我，我决定的事情就不会再改变。你如果想去就游下去看看吧，但是你会因此被扣掉你的佣金。玛格丽特：相信我，我可不是说说而已。
    "Ency_IslandsPDABase1Desk"    德加斯的号声音日志风暴来了
    "EncyDesc_IslandsPDABase1Desk"    保罗：儿子，我说了不行。我们必须等待这场暴雨过去，跟我们的安全比起来，那些蔬菜样本算什么？巴特：爸爸，在你的船坠毁的那一刻，你已经不是船长了。你也没有权利命令我。保罗：直到你能管好自己，并做好自己的决定时，我才不会再管你！玛格丽特：长官，问你几个问题。保罗：说！玛格丽特：你是知道怎么把那几十吨雨水从培养皿里排出来，还是说你不需要培养皿，可以在空气中长出食物来？保罗：不要逞口舌之快，梅达，你这坏习惯要改一改了。玛格丽特：我只是想说，你儿子这条命现在可以为你培育植物。但你如果不让他去，到明天你会饿到连他的肉都想吃，你明白吗？保罗：去吧，去把植物抢救回来。巴特·托格尔离开了基地保罗：听着，如果你再像这样干涉我和我家人之间的事情，救援到达时，我会把你一个人留在这个星球上，你听懂了吗？玛格丽特：天真的长官啊，没有救援队会来的，至少在我们能解决生存问题之前不会来。这场雨一直这么下着，这里迟早会被淹没。唯一的问题是我们要不要死在一起。
    "Ency_IslandsPDAExterior"    德加斯的号声音日志后果
    "EncyDesc_IslandsPDAExterior"    玛格丽特：看到了吗，长官。是你把我们带到了这个糟透了的地方。之前你说我们会发财，但是六个星期后我们得到什么了？船员基本都死了，船坏了，食物也都被冲走了。保罗：你的意思是你这样一个只会用机枪扫射别人的脸的人比我更有领导权？玛格丽特：最起码我知道，在航行途中不要随便绕行到一个没有勘探过的未知星球，我想这应该常识吧。保罗：你只会在事故发生后指摘我的决定，却想不出如何让我们摆脱现在的困境的方案。玛格丽特：我还真有一个想法。我们可以把我们已有的资源和装备全部带走，在水下几百米的一个洞穴里建立基地，并且进行加固，我已经找好了地方，那里矿产很丰富。保罗：那我们吃什么，喝什么？玛格丽特：首先我们有丰富的建造资源，可以用于制造净水过滤器生产过滤净水，制造生物反应堆来发电，并且有新鲜的鱼可以吃，如果那样的话，我们必须付出的代价可能是吃海藻沙拉和回收我们的体液用于饮用。但是，你有比这更好的提议吗？保罗：这样吧，你先把你找的那个洞穴位置的坐标发送给我，我好好考虑一下。
    "Ency_JellyPDABrokenCorridor"    德加斯号语音日志啄食顺序
    "EncyDesc_JellyPDABrokenCorridor"    保罗：儿子，不管在哪里，只要有人，就有阶级。在我们的世界，钱就是决定人们阶级的单位。我花钱雇佣梅达，并且我为你的教育花钱，所以，就算我的船不在了，我仍然处在阶级最顶端。巴特：如果是钱决定了人与人的层级，那为什么去哪里，做什么的决定都是梅达在做？保罗：我雇佣了她，所以她有责任帮我们做出正确恰当的决定，来让我们存活下去，这也是雇佣关系的一部分。巴特：但是如果她不想受雇佣合同限制了呢？保罗：只要给的钱够，人们会足够忠诚的，你会明白的。
    "Ency_JellyPDARoom2Desk"    德加斯号的号声音日志去往更深
    "EncyDesc_JellyPDARoom2Desk"    保罗：我们已经到米深了，你还要去更深的地方吗？你疯了吗？玛格丽特：看看我们周围，船长，水已经渗进了船体板。我们快淹死了。你有没有想过，如果救援队来了之前击落我们的武器还会再度击落它，直到我们关闭了这个武器之前，没有救援队能顺利降落。下面，就在下面，一定有某种开关可以关闭这个武器。保罗：你在说什么，在米的水下怎么会有什么关闭开关？玛格丽特：这是我的预感，之前我们找到的外星人留下的奇怪装置应该和这一切有什么关系，而且是我们在水下发现的，不是在岸上发现的。保罗：你疯了，你一定是疯了。玛格丽特：你说我疯了也好，固执己见也好，至少我这个假设有可能行得通，也是我们活下去的唯一可能。所以你们要是听我的，就跟过来。不听我的就回去，记住，你只有在水面上才有指挥权。
    "Ency_JellyPDAObservatory"    巴特托加尔的号日志潜行者的牙
    "EncyDesc_JellyPDAObservatory"    刚刚发生了一件难以置信的事情。我们带来的高强度搪瓷玻璃很快就用完了。虽然我们可以从本地的矿物里采集石英来制作普通的玻璃，但是这些玻璃的强度远远达不到我们手术台上的切割工作要求。所以我开始寻找一些本地可以替代或加强玻璃的硬度的生物材料。刚好发现本地一种生物潜行者的牙齿能达到要求，但是数量远远不够。我提到这件事的时候，玛格丽特好像很感兴趣。此后，她问了我一些关于我的生物研究的进展，其中旁敲侧击的问我关于潜行者习性的问题。由于父亲很少关心我的科学研究，我一直苦于研究成果无人倾听。于是我将我观测之后的大胆猜想告诉了玛格丽特，我告诉她，潜行者似乎会被金属吸引，在用金属磨牙后可能会掉牙，她听完之后马上兴奋地跑出了基地。三个小时后，她带着一大袋潜行者的牙齿回来了，手臂上有一个巨大的伤口，一直在流血。在我帮他包扎伤口时，她告诉我们潜行者实在是太弱了，还有可爱的白白肚皮。我只能说这太不可思议了，她一个人去海藻森林，一个人只用一把热能匕首解决了这么多潜行者，然后全身而退了。这件事让我喜忧参半，高兴的是，我有足够的优质材料替代之前的低强度玻璃进行科学研究了。担忧的是，我们的到来会不会破坏当地的生态环境或者食物链，毕竟根据我的研究，这里的环境十分易变且脆弱。我希望我可以更多地近距离研究这些生物，但是爸爸不让我出去，怕有危险。说不定有了这种高强度的材料，我们可以建造一个水族箱或者类似的东西来饲养这些生物，供我们研究，了解更多关于这个星球的信息。
    "Ency_JellyPDARoom1Desk"    巴特托加尔的号日志这个疯狂的世界
    "EncyDesc_JellyPDARoom1Desk"    我觉得这样一直生活在水下，我们会得幽闭恐惧症。哈哈，反正父亲一直这么觉得。在我看向窗外时，我觉得能这么近距离地看这个世界实在是太幸运了。如果是之前一直在岛上，我根本无法想象这水下有这么多丰富多彩的生物。甚至有一种鱼，身体的百分之都是眼睛，还有身体长度比两个房间都大的蛇一样的生物。当然，其中的很多生物都是不友好的，并且的植物都有毒，这些都是我付出惨痛地代价才得到的研究结论。我已经设法将一些甜瓜种在了基地里，不过甜瓜不够吃的时候，我们还是会吃一些本地的鱼类，虽然很不好吃，但是起码是热量来源吧。我一直在记录我的研究发现，这一点父亲也是允许的，他也觉得我们如果想利用这个星球的资源离开，必须得先透彻了解这里的动物和生物。但是我做这些研究纯粹是因为我喜欢研究。没有扫描设备和网路，做起研究来会很难，但是用最原始的观察，总结，做笔记，测试实验这些研究方式，让我看到了从前用扫描光谱看不到的东西。比如最近我在研究一种名为蟹蛇的生物，它会寄生在本地一种发光的菌类植物中，袭击想来食用蘑菇的鱼，吃完的残渣掉落在海床，又可以作为菌类生长的养料。看到这一生物行为，我脑海中马上回想起生物共生学的概念，说不定这是这个星球上很重要的一种生物习性。
    "Ency_JellyPDARoom1Locker"    保罗托加尔的号日志一切都乱了
    "EncyDesc_JellyPDARoom1Locker"    你们绝猜不到今天梅达说了什么。她说我们得在东边公里的海平面以下米深建一个水下基地。她脑子里装的都是什么？就因为她的几次正确决定让我们活下来了，她就像当上领导吗？她难道忘了她只是我雇佣的安保人员？但是这个主意虽然疯狂，除此之外我也想不到更好的办法了，她说的没错，我们总不能坐以待毙。上周我已经岁了，我原本以为我还能再活岁，但这个星球上我没有肝脏可以换，没有了科技，我现在只是一介凡人，但是梅达或许可以帮我离开。所以我必须在两者间做出抉择，在岛上等待救援，并期望救援队不会受到不明攻击，或者到海底深处寻找这一切的答案？与此同时，还得期望自己是自然老死，而不是被海怪杀死。但是梅达有一点说对了，她给我的坐标那里矿产确实十分丰富，那里的锂大概可以生产吨的塑钢，甚至可以造出一支独眼巨人号舰队。如果我们安全离开了，公司的股价可能会狂飙。
    "Ency_JellyPDAExterior"    玛格丽特梅达号声音日志自由
    "EncyDesc_JellyPDAExterior"    这些自私，自大，可悲，无能的资本家真是一点用都没有，他们都是榆木脑袋吗？这个孩子还好，比他的父亲有用的多，我发誓，这个父亲嘴里吐出来的每一个字都是自恋且愚蠢的谎言。他想留在这个洞穴是他的事情，而我有更重要的事情要做，去他的合约，去他的工资。我的生存哲学就是海怪追赶你的时候，不要躲藏，你也去狩猎他们，然后用他们的骨架搭成潜艇去狩猎更大的海怪，直到所有海怪被杀干净。我要去更深处，我要发现是什么人把我们的飞船射下来，我要打烂他的脸。我已经在准备了，这孩子教会了我如何做搪瓷玻璃，并且我存了很多矿石可以做一个海蛾号。在我离开之前，我会带走所有能吃的食物。万恶的资本家。
    "Ency_JellyPDARoom2Locker"    德加斯号号语音日志意外发现
    "EncyDesc_JellyPDARoom2Locker"    保罗：那是什么？玛格丽特：我不知道，这是我在外面的淤泥里发现的。保罗：是其他船只的残骸吗？玛格丽特：总之我从来没见过。巴特：连一点划伤的印记都没有。保罗：别乱动它，别弄坏了，这东西肯定有用。玛格丽特：别紧张，它要是那么容易碎，我拿起来的时候就会碎了。巴特：看，它在发光！保罗：在我们之前就有人来过这个星球了。玛格丽特：也许吧，可能是外星人，也可能是海怪？但有一点是肯定的，我们在这岸上什么线索都不会发现。
    "BaseMapRoomFragment"    扫描室碎片
    "BaseMapRoom"    扫描室
    "Tooltip_BaseMapRoom"    搜寻范围内的资源和残骸。
    "MapRoomCameraInfo"    摄像无人机
    "MapRoomCameraControls"    用鼠标滚轮切换摄像无人机
    "MapRoomCameraDistance"    距离
    "EncyPath_DownloadedData\/Lifepods"    未知
    "EncyPath_DownloadedData\/AuroraSurvivors"    极光号的幸存者
    "Ency_Lifepod1"    号逃生舱首席工程师于的语音日志（）
    "EncyDesc_Lifepod1"    工程师于：漂浮装置失败！柏克萊：我们的逃生舱正在进水，快疏散！工程师于：等等，我可以重新配置氧气系统作为舱底泵！柏克萊：成功了崩溃工程师于：好的，好消息是：我们还活着，我们已经停止了下沉。柏克萊：那坏消息呢？工程师于：氧气将在分钟内用完，而我们在水下了米处。柏克莱：我们该怎么办？工程师于：我们使用剩余的东西发送求救讯号，并制作任何有帮助的装备，然后找个方法回到水面。
    "Ency_Lifepod2"    逃生舱医疗人员丹比的日志
    "EncyDesc_Lifepod2"    我并不是一个货真价实的医生。我知道我的卡片上说我是医疗人员，但我从来不是个医生。在医学考试时我不过是在上衣口袋里偷偷带了一台扫描仪，然后答案就都能扫描出来了，这谁不会？这年头有几个医生会手动接骨头？有几次手术是外科医生亲自做的？都是机器人来。你知道吗其实我很擅长我的工作的，扫描仪对着病人的胸口扫几下就可以出结果，治好病了。但是我终究为我的傲慢付出了代价。扫描仪这东西在没有网络连接的时候简直就是一堆废铁。我全身都在流血，手上长出了绿色的脓包，但是用扫描仪执行自扫描，它竟然说我是皮肤过敏，并建议制作急救包？当然了，我还记得化学课的时候和我旁边的美女搭讪，但我怎么记得天杀的漂白剂怎么做，或者怎么消毒伤口！我想我要死在这里了。
    "Ency_Lifepod3"    号逃生舱船员日志
    "EncyDesc_Lifepod3"    未知船员：你真的认为它能载我们两个人吗？未知船员：常规的推进器可以牵引的重量达到码，我使用了更高额定功率的电池，应该可以。未知船员：你觉得外面有什么东西能追的上？未知船员：我觉得这个星球已经给了我们足够的惊喜了。未知船员：你还真是冷静啊！未知船员：我只是通过计算分散注意力罢了，否则我会害怕的要死的。
    "Ency_Lifepod4"    号逃生舱大使语音日志
    "EncyDesc_Lifepod4"    啛
    "Ency_LifepodSeaglide"    号逃生舱船员日志
    "EncyDesc_LifepodSeaglide"    奥齐的日志。真是崩溃的一天。我完全不知道发生了什么事情。现在我害怕的不敢出去。水下的舱门倒映着奇怪的影子，不知道是岩石，还是外星生物，周围全是外星奇特的洞穴。极光号上载有建造外形像为传送门所需的大量物资。载具舱，生物反应器，推进炮以及……电影院，哦对了，还有一个失重健身房和我最爱的咖啡厅，一切都来的太突然了，我不知道我现在在哪，我也不知道为什么没有人来救我。
    "Ency_LifepodKeenDialog"    号逃生舱二副基恩的语音日志
    "EncyDesc_LifepodKeenDialog"    船长：金，这里是极光号，收到请回话！金：收到。船长：船载计算机分析确定在这个坐标附近可以重组幸存船员，我将这个任务交给你，坐标已经发送。金：了解，但是您？船长：现在他们的生命都扛在你一个人肩上，请对他们负责！金：船长，您也需要撤退啊！船长：不行，你们会需要尽量完整的极光号来回收资源并通过它联系阿尔特拉总部，我必须将极光号坠毁受到的伤害降到最低。极光号爆炸声金：船长！船长！失去联系
    "Ency_LifepodKeenLog"    号逃生舱二副金的船员日志
    "EncyDesc_LifepodKeenLog"    致所有船员如果你收到这一信息，请无视我的安全，尽全力抵达最近陆地上的汇合点，和所有其他幸存船员汇合，我希望能在岸上看到你。
    "Ency_LifepodCrashZone1"    号逃生舱船员号日志
    "EncyDesc_LifepodCrashZone1"    船员：女士，请你冷静，我们现在还没有危险。乘客：救援队呢？救援队怎么还不来？船员：救援队没能抵达。乘客：你说什么？他们在哪？船员：他们死了，女士，但是我们有陆地汇合点的坐标，去那得穿过一大片有过量辐射的区域，我们只有一件防辐射服。乘客：所以怎么办！船员：如果让我穿上防辐射服，我会去找一些铅，回来帮你做另外一套潜水服，然后我们一起去汇合点。
    "Ency_LifepodCrashZone2"    号逃生舱船员号日志
    "EncyDesc_LifepodCrashZone2"    乘客：我不该让她抛下我一个人出去收集材料的，天都黑了还不见回来。说不定她已经自己去汇合点了，又或许她已经淹死或者被外星人杀死了，我不能坐以待毙，我要去发射一个求救信号弹。点燃信号弹的声音舱门打开的声音船员：你在做什么？！乘客：我在发射信号弹啊！你怎么去了这么久！船员那不是求救信号弹。赶紧扔掉，你会伤到自己的！爆炸声
    "Ency_LifepodCTODialog1"    未知
    "EncyDesc_LifepodCTODialog1"    指挥官日志
    "Ency_LifepodCTODialog2"    未知
    "EncyDesc_LifepodCTODialog2"    指挥官日志
    "Ency_LifepodCTOLog2"    未知
    "EncyDesc_LifepodCTOLog2"    指挥官日志
    "MapRoomCameraNoSignal"    无信号
    "MapRoomCamera"    遥控摄像无人机
    "Tooltip_MapRoomCamera"    一种可控摄像无人机。
    "Quality"    品质
    "VRRenderScale"    呈现规模
    "Apply"    应用
    "HorizontalSensitivity"    横向灵敏度
    "VerticalSensitivity"    垂直灵敏度
    "InvertLook"    反转
    "EnableController"    启用手柄控制器
    "ResetToDefault"    重置为默认值
    "Deconstruct"    拆解
    "Construct"    建造按住左键
    "CyclopsWelcomeNoPower"    独眼巨人号：警告：仅剩应急能源，氧气供应系统瘫痪。
    "AssignQuickSlot"    指定快捷键
    "Eat"    吃
    "Use"    使用
    "Place"    放置
    "Drop"    丢弃
    "SwitchContainer"    开关
    "SeamothWelcomeNoPower"    海蛾号警告应急电源氧气生产停止。
    "BaseWelcomeNoPower"    基地警告仅剩应急电源氧气生产系统崩溃。
    "MapRoomCameraConnecting"    正在连接
    "StarshipChair2"    办公椅
    "StarshipChair3"    长官椅
    "Tooltip_StarshipChair2"    让你更放松，更自信。
    "Tooltip_StarshipChair3"    由你指挥全局。
    "UseMapRoomFabricator"    使用工作台
    "MapRoomUpgrades"    扫描室升级模组
    "MapRoomHUDChip"    示波器芯片
    "Tooltip_MapRoomHUDChip"    显示扫描室的数据。
    "MapRoomUpgradeScanRange"    扫描范围升级模块
    "MapRoomUpgradeScanSpeed"    扫描速度升级模块
    "Tooltip_MapRoomUpgradeScanRange"    增加扫描室的扫描范围。
    "Tooltip_MapRoomUpgradeScanSpeed"    增加扫描室的运行速度。
    "FireExtinguisher"    灭火器
    "DamagedSavedGame"    损坏的游戏存档
    "MapRoomCameraInfoScreen"    摄像无人机
    "ControlCamera"    控制摄像无人机
    "MapRoomScanningText"    扫描中
    "BindQuickSlot"    指定快捷键
    "Equip"    装备
    "Unequip"    取下
    "CyclopsHullModule1"    独眼巨人号抗压模组
    "Tooltip_CyclopsHullModule1"    将安全下潜深度提高至米，效果无法叠加。
    "CyclopsHullModule2"    独眼巨人号抗压模组
    "Tooltip_CyclopsHullModule2"    将安全下潜深度提高至米，效果无法叠加。
    "WorkbenchMenu_CyclopsMenu"    独眼巨人号升级
    "CyclopsLightingToggle"    切换内部照明开关
    "CyclopsPowerToggle"    独眼巨人号功率切换开关
    "CyclopsFloodlightsToggle"    切换外部照明灯开关
    "SeamothDepthWarning"    警告海蛾号低于承受挤压深度
    "UraniniteCrystal"    铀矿晶体
    "ReactorRod"    反应堆控制棒
    "Tooltip_ReactorRod"    用于核反应，为其提供能量。
    "Tooltip_UraniniteCrystal"    八氧化三铀高放射性物质。
    "SmallStorageDefaultLabel"    存储柜
    "SmallStorageEditLabel"    编辑储物柜名称
    "CyclopsExternalCam1"    摄像无人机龙骨
    "CyclopsExternalCam2"    摄像无人机潜望塔
    "CyclopsExternalCam3"    摄像无人机螺旋桨
    "CyclopsExternalCamControls"    使用和循环摄像机使用切换相机光使用退出
    "Ency_SeaTreader"    啛
    "EncyDesc_SeaTreader"    一种巨大的双足生物，群体于珊瑚礁中漫游。伸长的鼻子：用于从海底吸取植物，以及维持身体平衡。据发现，该生物具有群体迁徙行为。大数量的群居会毁坏当地植被。高热量饮食评估：建议进一步调查
    "Ency_ReaperLeviathan"    死神利维坦
    "EncyDesc_ReaperLeviathan"    利维坦处于几乎所有食物链的顶端。这个物种是天生的狡猾猎人，具有发达的视力和回声定位能力。死神定期发出深吼声作为高效的声纳。如果你听到了它，它也可以听到你。四个强大的下颚：利维坦能在它的爪子能触及的范围内锁定猎物。模拟攻击强度超过海蛾号抗压性。扫描样品测量米长。观察到它习惯于从后方攻击猎物。这个生物体身上几乎都是肌肉。没有大脑。没有道德感。只是有肉，筋骨和牙齿。猎物：一切生物。捕食者：未知。注意：这种生命形式被归类为利维坦类捕食者。恭喜您，离它这么近还能活到看到这里！评估极端威胁！
    "Ency_Crabsquid"    蟹鱿
    "EncyDesc_Crabsquid"    这种大型捕食者通常出现在深海，便于潜伏在寒骨藻和脑膜树附近寻找猎物。个不同外肢具有游泳，行走和进攻行为的分工。以小型鱼类为食，通过辨别气味和光线在阴暗的水域中进行猎物识别。对光照很敏感，因此水母鳐和刺头鱼是其天然的猎物。攻击性强评估：避免接触
    "Ency_Warper"    裂空者
    "EncyDesc_Warper"    一种具有侵略性的生物，具有超时空传送自己及其他生物的能力。头部：位于头部区域的特殊机能使该生命体能够将自己或其他生物相位跳跃到不同的位置。躯干：会狩猎其他生物，但并没有消化器官。内部结构比其他已知生物体复杂得多。没有发现与其他本地生物遗传相似度。资料库中没有推荐的针对防御手段。
    "BaseBioReactorStorageLabel"    生物反应堆
    "UseBaseBioReactor"    使用生物反应堆充能
    "BaseBioReactorActive"    激活
    "BaseBioReactorInactive"    未激活
    "BaseBioReactorCantAddItem"    你只能把有机物放入生物反应堆。
    "BaseBioReactorCantRemoveItem"    你不能从生物反应堆中回收物品。
    "BaseNuclearReactorStorageLabel"    核反应堆
    "UseBaseNuclearReactor"    使用核反应堆充能
    "BaseNuclearReactorActive"    激活
    "BaseNuclearReactorInactive"    未激活
    "BaseNuclearReactorCantAddItem"    反应堆只能用核反应棒作为燃料
    "BaseNuclearReactorCantRemoveItem"    核反应棒只有耗尽才能被移除
    "DepletedReactorRod"    耗尽的反应堆控制棒
    "Tooltip_DepletedReactorRod"    核废料。
    "BaseNuclearReactor"    核反应堆
    "BaseBioReactor"    生物反应堆
    "Tooltip_BaseNuclearReactor"    使用核反应棒来产生能量。
    "Tooltip_BaseBioReactor"    将生物能转化为电能。
    "GhostRotateInputHint"    旋转
